nameId,firstName,lastName,language
int32,string,string,string
1,阿鼻,北晶,cn
2,紫微,冰凡,cn
3,冲霄,冰海,cn
4,屠魔,冰珍,cn
5,炼神,彩静,cn
6,问情,彩萱,cn
7,云浪,彩妍,cn
8,无影,唱月,cn
9,翔龙,琛瑞,cn
10,金龙,晨曦,cn
11,惊情,痴灵,cn
12,玄光,初瑶,cn
13,邪影,翠容,cn
14,斩月,翠桃,cn
15,无量,代丝,cn
16,大海,笛韵,cn
17,流明,冬云,cn
18,七星,尔风,cn
19,至高,凡松,cn
20,追日,芳馥,cn
21,玄雾,芳林,cn
22,伏羲,飞瑶,cn
23,蜘蛛,芬芬,cn
24,天武,馥嫫,cn
25,蛇蝎,甘雨,cn
26,血云,歌阑,cn
27,吹雪,孤菱,cn
28,百变,孤丝,cn
29,尸骨,海瑛,cn
30,螳螂,海之,cn
31,赤虹,含海,cn
32,逆练,含娇,cn
33,缘生,涵柏,cn
34,百炼,涵瑶,cn
35,阳炎,寒梦,cn
36,灭神,菡梅,cn
37,飞花,荷紫,cn
38,枯禅,幻莲,cn
39,紫电,慧丽,cn
40,金钟,慧雅,cn
41,龙凤,慧云,cn
42,寰宇,蕙若,cn
43,地狱,吉玉,cn
44,青焰,寄琴,cn
45,神鹰,佳妍,cn
46,烈阳,佳悦,cn
47,玄阴,嘉云,cn
48,银霜,娇洁,cn
49,圣光,菁菁,cn
50,阎罗,婧慈,cn
51,星月,静晗,cn
52,紫霜,静槐,cn
53,天雷,可心,cn
54,空蝉,可馨,cn
55,盖世,兰英,cn
56,暗鸦,岚翠,cn
57,风刃,乐蓉,cn
58,仁王,乐瑶,cn
59,天仙,乐怡,cn
60,飞鱼,乐之,cn
61,兽王,冷菱,cn
62,钢骨,怜雪,cn
63,绝叫,灵凡,cn
64,无悔,灵槐,cn
65,玄冰,灵薇,cn
66,狼牙,凌波,cn
67,乾天,凌寒,cn
68,百丈,凌瑶,cn
69,北斗,洛灵,cn
70,勐虎,曼冬,cn
71,两仪,曼柔,cn
72,飞雪,梅红,cn
73,灵心,梅英,cn
74,狂尸,美如,cn
75,日月,梦曼,cn
76,尖锋,茗雪,cn
77,紫霄,慕蕊,cn
78,罗汉,慕诗,cn
79,白焰,南莲,cn
80,大乘,念念,cn
81,雷火,念桃,cn
82,幽冥,念文,cn
83,万丈,念烟,cn
84,雄鹰,凝安,cn
85,绝情,凝荷,cn
86,慾天,凝琴,cn
87,无涯,盼儿,cn
88,赤龙,盼芙,cn
