id,txt_Name,txt_Des,group,index,attainTab,reward,sourceId,hide
int32,string,string,int32,int32,[]{int32 attainId;double p2},[]{int32 id;int64 n},int32,int32
1001,主线通关,主线通过关卡第5关,1,1,1028~5,10002~100,30,
1002,主线通关,主线通过关卡第6关,1,2,1028~6,10002~100,30,
1003,主线通关,主线通过关卡第7关,1,3,1028~7,10002~100,30,
1004,主线通关,主线通过关卡第8关,1,4,1028~8,10002~100,30,
1005,主线通关,主线通过关卡第9关,1,5,1028~9,10002~100,30,
1006,主线通关,主线通过关卡第10关,1,6,1028~10,10002~200,30,
1007,主线通关,主线通过关卡第12关,1,7,1028~12,10002~200,30,
1008,主线通关,主线通过关卡第14关,1,8,1028~14,10002~200,30,
1009,主线通关,主线通过关卡第16关,1,9,1028~16,10002~200,30,
1010,主线通关,主线通过关卡第18关,1,10,1028~18,10002~200,30,
1011,主线通关,主线通过关卡第20关,1,11,1028~20,10002~200,30,
1012,主线通关,主线通过关卡第25关,1,12,1028~25,10002~200,30,
1013,主线通关,主线通过关卡第30关,1,13,1028~30,10002~200,30,
1014,主线通关,主线通过关卡第35关,1,14,1028~35,10002~200,30,
1015,主线通关,主线通过关卡第40关,1,15,1028~40,10002~200,30,
1016,主线通关,主线通过关卡第45关,1,16,1028~45,10002~200,30,
1017,主线通关,主线通过关卡第50关,1,17,1028~50,10002~200,30,
1018,主线通关,主线通过关卡第60关,1,18,1028~60,10002~200,30,
1019,主线通关,主线通过关卡第70关,1,19,1028~70,10002~200,30,
1020,主线通关,主线通过关卡第80关,1,20,1028~80,10002~200,30,
1021,主线通关,主线通过关卡第90关,1,21,1028~90,10002~200,30,
1022,主线通关,主线通过关卡第100关,1,22,1028~100,10002~300,30,
1023,主线通关,主线通过关卡第120关,1,23,1028~120,10002~300,30,
1024,主线通关,主线通过关卡第140关,1,24,1028~140,10002~300,30,
1025,主线通关,主线通过关卡第160关,1,25,1028~160,10002~300,30,
1026,主线通关,主线通过关卡第180关,1,26,1028~180,10002~300,30,
1027,主线通关,主线通过关卡第200关,1,27,1028~200,10002~300,30,
1028,主线通关,主线通过关卡第220关,1,28,1028~220,10002~300,30,
1029,主线通关,主线通过关卡第240关,1,29,1028~240,10002~300,30,
1030,主线通关,主线通过关卡第260关,1,30,1028~260,10002~300,30,
1031,主线通关,主线通过关卡第280关,1,31,1028~280,10002~300,30,
1032,主线通关,主线通过关卡第300关,1,32,1028~300,10002~300,30,
1033,主线通关,主线通过关卡第320关,1,33,1028~320,10002~300,30,
1034,主线通关,主线通过关卡第340关,1,34,1028~340,10002~300,30,
1035,主线通关,主线通过关卡第360关,1,35,1028~360,10002~300,30,
1036,主线通关,主线通过关卡第380关,1,36,1028~380,10002~300,30,
1037,主线通关,主线通过关卡第400关,1,37,1028~400,10002~300,30,
1038,主线通关,主线通过关卡第420关,1,38,1028~420,10002~300,30,
1039,主线通关,主线通过关卡第440关,1,39,1028~440,10002~300,30,
1040,主线通关,主线通过关卡第460关,1,40,1028~460,10002~300,30,
1041,主线通关,主线通过关卡第480关,1,41,1028~480,10002~300,30,
1042,主线通关,主线通过关卡第500关,1,42,1028~500,10002~300,30,
1043,主线通关,主线通过关卡第520关,1,43,1028~520,10002~300,30,
1044,主线通关,主线通过关卡第540关,1,44,1028~540,10002~300,30,
1045,主线通关,主线通过关卡第560关,1,45,1028~560,10002~300,30,
1046,主线通关,主线通过关卡第580关,1,46,1028~580,10002~300,30,
1047,主线通关,主线通过关卡第600关,1,47,1028~600,10002~300,30,
1048,主线通关,主线通过关卡第620关,1,48,1028~620,10002~300,30,
1049,主线通关,主线通过关卡第640关,1,49,1028~640,10002~300,30,
1050,主线通关,主线通过关卡第660关,1,50,1028~660,10002~300,30,
1051,主线通关,主线通过关卡第680关,1,51,1028~680,10002~300,30,
1052,主线通关,主线通过关卡第700关,1,52,1028~700,10002~300,30,
1053,主线通关,主线通过关卡第720关,1,53,1028~720,10002~300,30,
1054,主线通关,主线通过关卡第740关,1,54,1028~740,10002~300,30,
1055,主线通关,主线通过关卡第760关,1,55,1028~760,10002~300,30,
1056,主线通关,主线通过关卡第780关,1,56,1028~780,10002~300,30,
1057,主线通关,主线通过关卡第800关,1,57,1028~800,10002~300,30,
1058,主线通关,主线通过关卡第820关,1,58,1028~820,10002~300,30,
1059,主线通关,主线通过关卡第840关,1,59,1028~840,10002~300,30,
1060,主线通关,主线通过关卡第860关,1,60,1028~860,10002~300,30,
1061,主线通关,主线通过关卡第880关,1,61,1028~880,10002~300,30,
1062,主线通关,主线通过关卡第900关,1,62,1028~900,10002~300,30,
1063,主线通关,主线通过关卡第920关,1,63,1028~920,10002~300,30,
1064,主线通关,主线通过关卡第940关,1,64,1028~940,10002~300,30,
