id,chapter,roundType,bossId,monster,show,reward,minuteCurrency
int32,int32,int32,int32,[]{int32 id;int32 lv},[]{int32 id;int64 n},[]{int32 id;int64 n},[]{int32 id;int32 n}
1001,51,0,,30445~188|30019~188|30341~188|30256~188|30341~188|30021~188|0~188,,10001~81225|10003~62730|23104~1,10003~1760|10001~908|10005~404
1002,51,0,,30058~188|30137~188|30256~188|30022~188|30470~188|30300~188|0~188,,10001~81275|10003~62780,10003~1762|10001~908|10005~404
1003,51,0,,30301~188|30019~188|30063~188|30180~188|30140~188|30256~188|0~188,,10001~81325|10003~62830|23204~1,10003~1764|10001~909|10005~405
1004,51,0,,30236~189|30236~189|30140~189|30061~189|30063~189|30064~189|0~189,,10001~81375|10003~62880,10003~1766|10001~909|10005~405
1005,51,0,,30058~189|30059~189|30054~189|30180~189|30133~189|30061~189|0~189,21041~20,10001~81425|10003~62930|21041~20,10003~1767|10001~910|10005~405
1006,51,0,,30301~189|30445~189|30236~189|30022~189|30341~189|30341~189|0~189,,10001~81475|10003~62980|23304~1,10003~1769|10001~911|10005~405
1007,51,0,,30060~189|30138~189|30142~189|30023~189|30256~189|30024~189|0~189,,10001~81525|10003~63030,10003~1771|10001~911|10005~405
1008,51,0,,30137~189|30058~189|30470~189|30470~189|30025~189|30324~189|0~189,,10001~81575|10003~63080|23404~1,10003~1772|10001~912|10005~405
1009,51,0,,30020~189|30136~189|30021~189|30260~189|30236~189|30060~189|0~189,,10001~81625|10003~63130,10003~1774|10001~913|10005~405
1010,51,1,30217,30058~189|30208~189|30025~189|30301~189|30064~189|30217~191|0~189,21051~5,10001~81675|10003~63180|21051~5,10003~1776|10001~913|10005~405
1011,51,0,,30341~189|30059~189|30220~189|30300~189|30021~189|30256~189|0~189,,10001~81725|10003~63230|23104~1,10003~1777|10001~914|10005~405
1012,51,0,,30060~190|30019~190|30219~190|30064~190|30220~190|30022~190|0~190,,10001~81775|10003~63280,10003~1779|10001~914|10005~405
1013,51,0,,30341~190|30137~190|30341~190|30300~190|30300~190|30023~190|0~190,,10001~81825|10003~63330|23204~1,10003~1781|10001~915|10005~406
1014,51,0,,30021~190|30341~190|30062~190|30260~190|30341~190|30023~190|0~190,,10001~81875|10003~63380,10003~1783|10001~916|10005~406
1015,51,0,,30208~190|30209~190|30133~190|30064~190|30015~190|30217~190|0~190,21041~20,10001~81925|10003~63430|21041~20,10003~1784|10001~916|10005~406
1016,51,0,,30236~190|30021~190|30022~190|30236~190|30236~190|30061~190|0~190,,10001~81975|10003~63480|23304~1,10003~1786|10001~917|10005~406
1017,51,0,,30058~190|30235~190|30061~190|30064~190|30064~190|30023~190|0~190,,10001~82025|10003~63530,10003~1788|10001~918|10005~406
1018,51,0,,30138~190|30059~190|30300~190|30341~190|30140~190|30342~190|0~190,,10001~82075|10003~63580|23404~1,10003~1789|10001~918|10005~406
1019,51,0,,30060~190|30137~190|30260~190|30140~190|30236~190|30062~190|0~190,,10001~82125|10003~63630,10003~1791|10001~919|10005~406
1020,51,1,30323,30214~190|30208~190|30323~190|30180~190|30061~190|30323~192|0~190,21051~5,10001~82175|10003~63680|21051~5,10003~1793|10001~920|10005~406
1021,52,0,,30138~190|30020~190|30342~190|30140~190|30062~190|30140~190|0~190,,10001~82225|10003~63730|23104~1,10003~1794|10001~920|10005~406
1022,52,0,,30341~190|30324~190|30023~190|30063~190|30141~190|30324~190|0~190,,10001~82275|10003~63780,10003~1796|10001~921|10005~406
1023,52,0,,30445~191|30019~191|30142~191|30300~191|30219~191|30300~191|0~191,,10001~82325|10003~63830|23204~1,10003~1798|10001~921|10005~406
1024,52,0,,30138~191|30019~191|30300~191|30024~191|30260~191|30062~191|0~191,,10001~82375|10003~63880,10003~1800|10001~922|10005~407
1025,52,0,,30169~191|30170~191|30133~191|30220~191|30018~191|30178~191|0~191,21041~20,10001~82425|10003~63930|21041~20,10003~1801|10001~923|10005~407
1026,52,0,,30445~191|30235~191|30140~191|30022~191|30256~191|30324~191|0~191,,10001~82475|10003~63980|23304~1,10003~1803|10001~923|10005~407
1027,52,0,,30021~191|30019~191|30024~191|30021~191|30260~191|30022~191|0~191,,10001~82525|10003~64030,10003~1805|10001~924|10005~407
1028,52,0,,30138~191|30021~191|30324~191|30324~191|30470~191|30341~191|0~191,,10001~82575|10003~64080|23404~1,10003~1806|10001~925|10005~407
1029,52,0,,30324~191|30020~191|30260~191|30341~191|30142~191|30300~191|0~191,,10001~82625|10003~64130,10003~1808|10001~925|10005~407
1030,52,1,30059,30019~191|30059~191|30177~191|30141~191|30219~191|30059~193|0~191,21051~5,10001~82675|10003~64180|21051~5,10003~1810|10001~926|10005~407
1031,52,0,,30020~191|30138~191|30324~191|30219~191|30141~191|30142~191|0~191,,10001~82725|10003~64230|23104~1,10003~1811|10001~926|10005~407
1032,52,0,,30341~191|30235~191|30061~191|30256~191|30470~191|30470~191|0~191,,10001~82775|10003~64280,10003~1813|10001~927|10005~407
1033,52,0,,30138~191|30136~191|30256~191|30470~191|30180~191|30324~191|0~191,,10001~82825|10003~64330|23204~1,10003~1815|10001~928|10005~407
1034,52,0,,30324~192|30341~192|30470~192|30217~192|30300~192|30060~192|0~192,,10001~82875|10003~64380,10003~1817|10001~928|10005~408
1035,52,0,,30235~192|30209~192|30054~192|30140~192|30015~192|30062~192|0~192,21041~20,10001~82925|10003~64430|21041~20,10003~1818|10001~929|10005~408
1036,52,0,,30341~192|30236~192|30324~192|30256~192|30324~192|30300~192|0~192,,10001~82975|10003~64480|23304~1,10003~1820|10001~930|10005~408
1037,52,0,,30021~192|30341~192|30180~192|30324~192|30220~192|30260~192|0~192,,10001~83025|10003~64530,10003~1822|10001~930|10005~408
1038,52,0,,30236~192|30445~192|30342~192|30220~192|30064~192|30060~192|0~192,,10001~83075|10003~64580|23404~1,10003~1823|10001~931|10005~408
1039,52,0,,30059~192|30341~192|30021~192|30024~192|30217~192|30142~192|0~192,,10001~83125|10003~64630,10003~1825|10001~931|10005~408
1040,52,1,30177,30214~192|30341~192|30178~192|30061~192|30064~192|30177~194|0~192,21051~5,10001~83175|10003~64680|21051~5,10003~1827|10001~932|10005~408
1041,53,0,,30059~192|30138~192|30217~192|30023~192|30324~192|30256~192|0~192,,10001~83225|10003~64730|23104~1,10003~1828|10001~933|10005~408
1042,53,0,,30019~193|30236~193|30256~193|30324~193|30025~193|30236~193|0~193,,10001~83275|10003~64780,10003~1830|10001~933|10005~408
1043,53,0,,30021~193|30058~193|30060~193|30220~193|30300~193|30300~193|0~193,,10001~83325|10003~64830|23204~1,10003~1832|10001~934|10005~408
1044,53,0,,30138~193|30324~193|30256~193|30180~193|30256~193|30256~193|0~193,,10001~83375|10003~64880,10003~1834|10001~935|10005~408
1045,53,0,,30131~193|30236~193|30016~193|30301~193|30213~193|30061~193|0~193,21041~20,10001~83425|10003~64930|21041~20,10003~1835|10001~935|10005~409
1046,53,0,,30138~193|30341~193|30256~193|30342~193|30256~193|30023~193|0~193,,10001~83475|10003~64980|23304~1,10003~1837|10001~936|10005~409
1047,53,0,,30341~193|30059~193|30063~193|30236~193|30260~193|30236~193|0~193,,10001~83525|10003~65030,10003~1839|10001~936|10005~409
1048,53,0,,30059~193|30019~193|30256~193|30217~193|30142~193|30219~193|0~193,,10001~83575|10003~65080|23404~1,10003~1840|10001~937|10005~409
1049,53,0,,30136~193|30138~193|30062~193|30062~193|30260~193|30022~193|0~193,,10001~83625|10003~65130,10003~1842|10001~938|10005~409
1050,53,1,30022,30235~193|30020~193|30063~193|30344~193|30344~193|30022~195|0~193,21051~5,10001~83675|10003~65180|21051~5,10003~1844|10001~938|10005~409
1051,53,0,,30138~193|30301~193|30256~193|30256~193|30260~193|30470~193|0~193,,10001~83725|10003~65230|23104~1,10003~1845|10001~939|10005~409
1052,53,0,,30137~193|30138~193|30140~193|30180~193|30025~193|30180~193|0~193,,10001~83775|10003~65280,10003~1847|10001~940|10005~409
1053,53,0,,30138~193|30060~193|30236~193|30141~193|30064~193|30141~193|0~193,,10001~83825|10003~65330|23204~1,10003~1849|10001~940|10005~409
1054,53,0,,30021~193|30136~193|30023~193|30219~193|30256~193|30342~193|0~193,,10001~83875|10003~65380,10003~1851|10001~941|10005~409
1055,53,0,,30130~193|30059~193|30018~193|30023~193|30213~193|30024~193|0~193,21041~20,10001~83925|10003~65430|21041~20,10003~1852|10001~942|10005~409
1056,53,0,,30235~193|30324~193|30062~193|30180~193|30300~193|30300~193|0~193,,10001~83975|10003~65480|23304~1,10003~1854|10001~942|10005~410
1057,53,0,,30060~193|30059~193|30062~193|30260~193|30217~193|30256~193|0~193,,10001~84025|10003~65530,10003~1856|10001~943|10005~410
1058,53,0,,30445~193|30445~193|30024~193|30256~193|30142~193|30024~193|0~193,,10001~84075|10003~65580|23404~1,10003~1857|10001~943|10005~410
1059,53,0,,30020~193|30138~193|30324~193|30300~193|30064~193|30064~193|0~193,,10001~84125|10003~65630,10003~1859|10001~944|10005~410
1060,53,1,30177,30137~193|30131~193|30142~193|30321~193|30344~193|30177~195|0~193,21051~5,10001~84175|10003~65680|21051~5,10003~1861|10001~945|10005~410
1061,54,0,,30445~193|30137~193|30180~193|30217~193|30220~193|30064~193|0~193,,10001~84225|10003~65730|23104~1,10003~1862|10001~945|10005~410
1062,54,0,,30324~193|30136~193|30341~193|30260~193|30342~193|30236~193|0~193,,10001~84275|10003~65780,10003~1864|10001~946|10005~410
1063,54,0,,30236~193|30324~193|30470~193|30256~193|30023~193|30342~193|0~193,,10001~84325|10003~65830|23204~1,10003~1866|10001~947|10005~410
1064,54,0,,30020~194|30138~194|30324~194|30324~194|30342~194|30236~194|0~194,,10001~84375|10003~65880,10003~1868|10001~947|10005~410
1065,54,0,,30058~194|30014~194|30054~194|30177~194|30018~194|30142~194|0~194,21041~20,10001~84425|10003~65930|21041~20,10003~1869|10001~948|10005~410
1066,54,0,,30138~194|30138~194|30022~194|30064~194|30324~194|30324~194|0~194,,10001~84475|10003~65980|23304~1,10003~1871|10001~948|10005~411
1067,54,0,,30059~194|30301~194|30024~194|30061~194|30260~194|30324~194|0~194,,10001~84525|10003~66030,10003~1873|10001~949|10005~411
1068,54,0,,30058~194|30445~194|30061~194|30324~194|30021~194|30260~194|0~194,,10001~84575|10003~66080|23404~1,10003~1874|10001~950|10005~411
1069,54,0,,30324~194|30324~194|30023~194|30470~194|30217~194|30140~194|0~194,,10001~84625|10003~66130,10003~1876|10001~950|10005~411
1070,54,1,30470,30019~194|30020~194|30470~194|30470~194|30064~194|30470~196|0~194,21051~5,10001~84675|10003~66180|21051~5,10003~1878|10001~951|10005~411
1071,54,0,,30058~194|30324~194|30021~194|30324~194|30341~194|30220~194|0~194,,10001~84725|10003~66230|23104~1,10003~1879|10001~952|10005~411
1072,54,0,,30020~195|30341~195|30256~195|30022~195|30022~195|30022~195|0~195,,10001~84775|10003~66280,10003~1881|10001~952|10005~411
